Species,Class,therm,common_name,rec,neo,mal,log_bm,log_pl,log_rec,Subclade
Rhinella_marina,Amphibia,ectothermic,Cane toad,33,2,2,5.45103845350579,5.61848024870091,3.49650756146648,Bufonidae
Rollulus_rouloul,Aves,endothermic,Roul roul,80,0,0,5.37749816383866,4.53737024777393,4.38202663467388,Galliformes
Rousettus_aegyptiacus,Mammalia,endothermic,Egyptian fruit bat,57,7,6,4.88431592707307,6.32509894378111,4.04305126783455,Chiroptera
Rousettus_lanosus,Mammalia,endothermic,Long-haired rousette,22,1,1,4.6347289889085,6.33021961566412,3.09104245335832,Chiroptera
Saguinus_imperator,Mammalia,endothermic,Emperor tamarins,35,1,1,5.99146454635282,5.29635153561294,3.55534806148941,Primates
Saguinus_oedipus,Mammalia,endothermic,Tamarin monkey,60,13,9,6.06378520965565,5.2952323623252,4.0943445622221,Primates
Saimiri_boliviensis,Mammalia,endothermic,Black-capped squirrel monkey,34,0,0,6.42162226832364,5.27497729224522,3.52636052461616,Primates
Saimiri_sciureus,Mammalia,endothermic,Common squirrel monkey,71,8,1,6.61096518753282,5.32682712516189,4.26267987704132,Primates
Sanzinia_madagascariensis,Reptilia,ectothermic,Madagscar tree boa,23,4,3,7.55485852047026,5.11748084470664,3.13549421592915,Sanziniidae
Sauromalus_ater,Reptilia,ectothermic,Sauromalus obesus,41,3,2,5.4293456289534,4.93349923316858,3.71357206670431,Iguanidae
Sceloporus_cyanogenys,Reptilia,ectothermic,Blue spiny lizard,56,2,2,4.99721227285469,4.68074502102044,4.02535169073515,Phrynosomatidae
Scopus_umbretta,Aves,endothermic,Hammerkop,20,1,0,6.1569789864281,5.26407395118173,2.99573227355399,Pelecaniformes
Sicalis_flaveola,Aves,endothermic,Saffron finch,20,0,0,2.8267217318075,5.32911910725881,2.99573227355399,Passeroidea
Simalia_boeleni,Reptilia,ectothermic,Boelens python,25,1,1,7.79975331750729,5.47616458580919,3.2188758248682,Pythonidae
Sistrurus_miliarius,Reptilia,ectothermic,Pigmy rattlesnake,21,2,1,6.68835471330508,5.07609167190386,3.04452243772342,Viperidae
Spheniscus_demersus,Aves,endothermic,Black-footed penguin,210,0,0,8.04882342663223,5.31788497689853,5.34710753071747,Sphenisciformes
Spheniscus_humboldti,Aves,endothermic,Humboldt penguin,376,4,2,8.38169186043426,5.33771263126679,5.9295891433899,Sphenisciformes
